source_id,source_name,source_type,location_or_url,sensitivity,owner,include_now,include_later,notes
repo_sword_coast,SwordCoast,repo,https://github.com/joshualparris/SwordCoast,private-low,Josh,yes,no,D&D game project
repo_whispering_wilds,Whispering-Wilds,repo,https://github.com/joshualparris/Whispering-Wilds,private-low,Josh,yes,no,Creative/game — possible duplicate of WhirringWilderness
repo_whirring_wilderness,WhirringWilderness,repo,https://github.com/joshuaparris-max/WhirringWilderness,private-low,Josh,yes,no,Creative/game — possible duplicate of Whispering-Wilds
repo_buckland_blocks,BucklandBlocks,repo,https://github.com/joshualparris/BucklandBlocks,private-low,Josh,yes,no,Game/creative project
repo_nebula_dice,NebulaDice-Browser,repo,https://github.com/joshualparris/NebulaDice-Browser,private-low,Josh,yes,no,Dice/game tool
repo_kkc_adventure,kkc-adventure,repo,https://github.com/joshualparris/kkc-adventure,private-low,Josh,yes,no,KKC story game
repo_ashfallen,AshFallen,repo,https://github.com/joshualparris/AshFallen,private-low,Josh,yes,no,Creative/dark fantasy story project
repo_elodin_deeplore,ElodinDeepLore,repo,https://github.com/joshualparris/ElodinDeepLore,private-low,Josh,yes,no,Possible duplicate of elodin-deep-lore
repo_elodin_deep_lore,elodin-deep-lore,repo,https://github.com/joshualparris/elodin-deep-lore,private-low,Josh,yes,no,Possible duplicate of ElodinDeepLore
deploy_joshhub_two,JoshHub dashboard (josh-hub-two),deployment,https://josh-hub-two.vercel.app/dashboard,private-low,Josh,yes,no,Possible canonical dashboard deployment
deploy_joshhub_96no,JoshHub apps (josh-hub-96no),deployment,https://josh-hub-96no.vercel.app/apps,private-low,Josh,yes,no,Possible duplicate JoshHub deployment
deploy_appfactory_inky,AppFactory (appfactory-inky),deployment,https://appfactory-inky.vercel.app/,private-low,Josh,yes,no,Deployment card needed
deploy_appfactory_gamma,AppFactory (app-factory-gamma),deployment,https://app-factory-gamma.vercel.app/,private-low,Josh,yes,no,Possible duplicate AppFactory deployment
deploy_appfactory_ghpages,AppFactory GitHub Pages,deployment,https://joshuaparris-max.github.io/AppFactory/,private-low,Josh,yes,no,GitHub Pages deployment
deploy_dcs_prep,DCS Prep Vercel,deployment,https://dcs-prep.vercel.app/,private-medium,Josh,yes,no,Work-related — sample data only
deploy_dcscompanion_ghpages,DCSCompanion GitHub Pages,deployment,https://joshuaparris-max.github.io/DCSCompanion,private-medium,Josh,yes,no,Work-related
deploy_avance_pd,Avance PD Vercel,deployment,https://avance-pd.vercel.app/,private-medium,Josh,yes,no,Work-related — sample data only
deploy_avance_pd2,Avance PD v2 Vercel,deployment,https://avance-professional-development.vercel.app/,private-medium,Josh,yes,no,Possible duplicate
deploy_lifehub,LifeHub deployment,deployment,https://lifehubdashboard.vercel.app/,private-low,Josh,yes,no,Dashboard overlap
deploy_parris_life_dash,Parris Life Dashboard GitHub Pages,deployment,https://joshualparris.github.io/Parris-Life-Dashboard/,private-low,Josh,yes,no,Dashboard overlap
deploy_clearcore,ClearCore Vercel,deployment,https://clearcore.vercel.app/,private-low,Josh,yes,no,Dashboard/productivity
deploy_hugcoach,HugCoach Vercel,deployment,https://hug-coach.vercel.app/,private-low,Josh,yes,no,Life/admin app
deploy_sleepy_ghpages,Sleepy GitHub Pages,deployment,https://joshualparris.github.io/Sleepy/,private-high,Josh,yes,no,Child app — P0 privacy risk; public deployment
deploy_sylviephonetics_ghpages,SylviePhonetics GitHub Pages,deployment,https://joshualparris.github.io/SylviePhonetics/,private-high,Josh,yes,no,Child app — P0 privacy risk; public deployment
deploy_parristechapp,ParrisTechApp Vercel,deployment,https://parris-tech-app.vercel.app/,private-low,Josh,yes,no,Tech service app
deploy_parristechservices,ParrisTechServicesApp Vercel,deployment,https://parris-tech-services-app.vercel.app/,private-low,Josh,yes,no,Possible duplicate
deploy_campaign_copilot,campaign-copilot GitHub Pages,deployment,https://joshuaparrisdadlan-stack.github.io/campaign-copilot/,private-low,Josh,yes,no,D&D tool
deploy_realms_atlas,realms-atlas GitHub Pages,deployment,https://joshualparris.github.io/realms-atlas/,private-low,Josh,yes,no,Story world tool
deploy_whirring_wilderness,WhirringWilderness GitHub Pages,deployment,https://joshuaparris-max.github.io/WhirringWilderness/,private-low,Josh,yes,no,Creative/game
deploy_wastes_courier,wastes-courier GitHub Pages,deployment,https://joshualparris.github.io/wastes-courier-roguelike/,private-low,Josh,yes,no,Game
deploy_nebula_dice,NebulaDice GitHub Pages,deployment,https://joshualparris.github.io/NebulaDice-Browser/,private-low,Josh,yes,no,Dice tool
deploy_elodin_deeplore,ElodinDeepLore GitHub Pages,deployment,https://joshualparris.github.io/ElodinDeepLore/,private-low,Josh,yes,no,Lore tool — possible duplicate
deploy_parrisbudget,ParrisBudgetApp Vercel,deployment,https://parris-budget-app.vercel.app/,private-medium,Josh,yes,no,Finance learning
email_github_ci_failures,GitHub CI failure emails,email-thread,Gmail: from:notifications@github.com subject:Run failed,private-medium,Josh,yes,no,AppFactory / WorkApp / HealthLens failures
email_github_invites,GitHub repo invite emails,email-thread,Gmail: subject:invited you,private-low,Josh,yes,no,DCSCompanion / campaign-copilot / SylvieApp / WhirringWilderness / AshFallen invites
email_property_mould,Property mould / 101 Boundary Road thread,email-thread,Gmail: Mould in shed OR 101 Boundary Road,private-high,Josh,yes,no,Private source card only — no raw upload
email_ncat,NCAT / tenancy advocacy emails,email-thread,Gmail: NCAT OR newtaas OR drea,private-high,Josh,no,yes,Private — add after privacy layer exists
email_job_search,Job application emails,email-thread,Gmail: NAB OR SEEK OR Customer Advisor,private-medium,Josh,yes,no,Career admin source card
email_ai_tooling,Claude / Codex / Copilot / AI tooling emails,email-thread,Gmail: Claude OR Codex OR Copilot OR Anthropic OR Bolt,private-low,Josh,yes,no,AI tooling and subscription context
local_c_dev,C:\dev folder,local-folder,C:\dev,private-medium,Josh,yes,no,Primary local dev workspace
local_joshhub_1,JoshHub_1 local folder,local-folder,C:\dev\JoshHub_1,private-medium,Josh,yes,no,Likely newest active JoshHub copy
local_joshhub,JoshHub local folder,local-folder,C:\dev\JoshHub,private-medium,Josh,yes,no,Possible older JoshHub copy — check vs JoshHub_1
local_dcsprep,DCSPrepApp local folder,local-folder,C:\dev\DCSPrepApp,private-medium,Josh,yes,no,Work app local copy
local_joshdashboard2,JoshDashboard2 local folder,local-folder,C:\dev\JoshDashboard2,private-medium,Josh,yes,no,Dashboard local copy
local_gitworkspaceaudit,GitWorkspaceAuditTool_v2,local-folder,C:\dev\GitWorkspaceAuditTool_v2,private-medium,Josh,yes,no,Audit tool local copy
local_appfactory,AppFactory local folder,local-folder,C:\dev\AppFactory,private-low,Josh,yes,no,AppFactory local
local_campaign_copilot,campaign-copilot local folder,local-folder,C:\dev\campaign-copilot,private-low,Josh,yes,no,D&D tool local
local_healthlens,HealthLens local folder,local-folder,C:\dev\HealthLens,private-high,Josh,yes,no,Health app local — architecture only
local_workapp,WorkApp local folder,local-folder,C:\dev\WorkApp,private-medium,Josh,yes,no,Work app local
local_onedrive_projects,OneDrive 03_Projects,local-folder,C:\Users\joshua.parris\OneDrive - Dubbo Christian School\Documents\03_Projects,private-medium,Josh,yes,no,School OneDrive — no student/staff data
