source_id,source_name,source_type,location_or_url,sensitivity,owner,include_now,include_later,notes
pdf_dcsprep_qa_audit_primary,dcsprep-qa-audit.pdf,pdf,https://drive.google.com/file/d/1JrttRasK7KTLVLkCF1CtzJSwDMWNy_C2/view,private-medium,Josh,yes,no,DCSPrep QA audit; redact school/internal data.
pdf_dcsprep_qa_audit_duplicate,dcsprep-qa-audit_DUPLICATE.pdf,pdf,https://drive.google.com/file/d/1q3_QvIlI8lhbbpfcKxugsZwzT6uHnHBq/view,private-medium,Josh,no,yes,Older/duplicate copy.
pdf_dcs_pd_apps_audit,DCS PD Apps Audit.pdf,pdf,https://drive.google.com/file/d/1lS_nkTqNlULwbybvU57w_WCYCcSnPgbK/view,private-medium,Josh,yes,no,DCS/PD app audit; use sample data only.
pdf_josh_health_data_compressed,Josh_____P-compressed.pdf,pdf,https://drive.google.com/file/d/1UO6mMNusWS7CWBjnqEdyssXPbn5rPObx/view,private-high,Josh,no,yes,Private health-related data/report; do not upload raw until local-only policy is ready.
pdf_josh_health_app_2,_JoshHealthApp(2).PDF,pdf,https://drive.google.com/file/d/1u7RKiPCsPqfeYPvdsLLBl9qHizsyqTMl/view,private-high,Josh,no,yes,Health app document; private only.
pdf_josh_health_app_2_dup,_JoshHealthApp(2).PDF.pdf,pdf,https://drive.google.com/file/d/1bFP_4ACkdGexJfPLchCmKoHSNafLvVb4/view,private-high,Josh,no,yes,Duplicate health app document.
pdf_screen_blurry_vision_research,Screen_Related_Blurry_Vision_Research_Report.pdf,pdf,https://drive.google.com/file/d/1DC1dl7gg-r4tslLFO66nDGlHtnyMx08q/view,private-medium,Josh,no,yes,Vision/screen-use research report; private health-adjacent.
pdf_heartbug_android_architecture,HeartBug_Android_App_Full_Stack_Architecture_Report.pdf,pdf,https://drive.google.com/file/d/1i9VmDwtIb74iPEbiPgX-JhziPvIOBRky/view,private-high,Josh,no,yes,HeartBug architecture/report; health-adjacent/private.
pdf_heartbug_bluetooth_buffering,HeartBug_Deep_Research_PDF_2_Samsung_Bluetooth_Buffering_Offline.pdf,pdf,https://drive.google.com/file/d/125rW-7P1M4TCpZLAMBZRBPWaXY3cwOyb/view,private-high,Josh,no,yes,HeartBug deep research; private.
pdf_sylvie_combined_ndis_notes_latest,____Sylvie Combined NDIS Notes - -25b8265d2d23ba4f.pdf,pdf,https://drive.google.com/file/d/1VYCgtQxXTSXcNdxsaTF5GKmEfx7Vbb5o/view,local-only,Josh,no,yes,Highly sensitive child/NDIS notes. Do not send raw to Fable; local-only or manually summarised.
pdf_sylvie_combined_ndis_notes_dup,____Sylvie Combined NDIS Notes - -25b8265d2d23ba4f_DUPLICATE.pdf,pdf,https://drive.google.com/file/d/1csFZuFzUSgP9OzbeusCkLIKfZ9nZUF22/view,local-only,Josh,no,yes,Duplicate/older child NDIS notes.
pdf_sylvie_family_report_april2026_latest,Sylvie_Family_Report_April2026.pdf,pdf,https://drive.google.com/file/d/1h_Ksi7UahbvbIBBBGlJY5ceQOpxVJi3w/view,local-only,Josh,no,yes,Sensitive family/child report; local-only.
pdf_sylvie_family_report_april2026_dup,Sylvie_Family_Report_April2026_DUPLICATE.pdf,pdf,https://drive.google.com/file/d/1RSBJfFvlkai3bhA6nMOw0H1QWGOleHym/view,local-only,Josh,no,yes,Duplicate/older sensitive child/family report.
pdf_sylvie_ndis_plan_approval,NDIS Plan Approval Sylvie Parris.pdf,pdf,https://drive.google.com/file/d/1hLaZOvZB9aau-4s4mlMjtsK2mKTHmx7s/view,local-only,Josh,no,yes,Highly sensitive NDIS plan. Do not send raw to Fable.
pdf_sylvie_combined_notes_dec_2025_1,____Sylvie Combined NDIS Notes - 6th Dec 2025 (1).pdf,pdf,https://drive.google.com/file/d/1DIk9jmCoWUqvgEeJYvlozl019aEw9Z81/view,local-only,Josh,no,yes,Sensitive child/NDIS notes; local-only.
pdf_sylvie_combined_notes_dec_2025,____Sylvie Combined NDIS Notes - 6th Dec 2025.pdf,pdf,https://drive.google.com/file/d/1o3vsylxWt3G7G8BzBkoYvPFF44-Sr8qT/view,local-only,Josh,no,yes,Sensitive child/NDIS notes; local-only.
pdf_mould_escalation_report,Mould_Escalation_Report_101_Boundary_Road_Dubbo.pdf,pdf,https://drive.google.com/file/d/1hF67ndLOAe9vQtAne8Ansd8QaBm9AzHy/view,private-high,Josh,no,yes,Tenancy/property report; private.
pdf_grandmaster_path_unified_audit,grandmaster_path_unified_master_audit_and_architecture_plan.pdf,pdf,https://drive.google.com/file/d/18thsHE4mZiBsAenEamJlnJm2nZZxVb4O/view,private-low,Josh,no,yes,Chess app architecture audit; optional source card.
pdf_grandmaster_path_gap_audit_primary,grandmaster_path_competitive_gap_audit.pdf,pdf,https://drive.google.com/file/d/16Puqbeu0vFbiJyQLAWTjRVi3L4f3BxPL/view,private-low,Josh,no,yes,Chess app audit; optional source card.
pdf_chess_app_gap_audit_primary,chess_app_gap_audit.pdf,pdf,https://drive.google.com/file/d/1i8cJB8kRApEm6Ts3lXAx95arH9Yr3GUq/view,private-low,Josh,no,yes,Chess app gap audit; optional.
pdf_chess_app_gap_audit_duplicate,chess_app_gap_audit_DUPLICATE.pdf,pdf,https://drive.google.com/file/d/1QuGoZgoG1gVMy34YjCO4pME2W8rC12ci/view,private-low,Josh,no,yes,Duplicate chess app audit.
pdf_chatgpt_audit_primary,ChatGPT Audit.pdf,pdf,https://drive.google.com/file/d/1zRw71SOVYBx_36Bcf5BlNXu6zhusZjgJ/view,private-low,Josh,no,yes,ChatGPT audit; optional.
pdf_chatgpt_audit_duplicate,ChatGPT Audit_DUPLICATE.pdf,pdf,https://drive.google.com/file/d/1D28_UAWiZj-x4o94qkK5uzofcz19k0bK/view,private-low,Josh,no,yes,Duplicate ChatGPT audit.
pdf_josh_dnd_books_total_tabletop_report,Josh_DnD_Books_Total_Tabletop_Campaign_Research_Report.pdf,pdf,https://drive.google.com/file/d/1gGGg5C9h3Sne5ECZVrlhHAZL0WTCo0Sh/view,private-low,Josh,no,yes,D&D/tabletop campaign research; optional.
pdf_og_josh_operational_dossier,__# OG Josh — Operational Dossier.pdf,pdf,https://drive.google.com/file/d/1Mjkk9c-IV8BKKOwk6oyjcUrKG6jpqK5x/view,private-high,Josh,no,yes,Likely private personal dossier; review manually before any AI use.
